2023/24,,All,,,,,,Boys,,,,,,Girls,,,,,
Code,Area,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,Percentage of pupils entering English and Mathematics GCSEs,,,Total number of pupils at the end of key stage 4,Average Attainment 8 score of all pupils,Average Progress 8 score of all pupils,Percentage of pupils entering English and Mathematics GCSEs,,,Total number of pupils at the end of key stage 4,Average Attainment 8 score of all pupils,Average Progress 8 score of all pupils,Percentage of pupils entering English and Mathematics GCSEs,,
,,,,,Percentage of pupils entered for components,Percentage of pupils achieving grades 5 or above in English and Mathematics GCSEs,Percentage of pupils achieving grades 4 or above in English and Mathematics GCSEs,,,,Percentage of pupils entered for components,Percentage of pupils achieving grades 5 or above in English and Mathematics GCSEs,Percentage of pupils achieving grades 4 or above in English and Mathematics GCSEs,,,,Percentage of pupils entered for components,Percentage of pupils achieving grades 5 or above in English and Mathematics GCSEs,Percentage of pupils achieving grades 4 or above in English and Mathematics GCSEs
,,,,,,,,,,,,,,,,,,,
E09000001,City of London,,,,,,,,,,,,,,,,,,
E09000007,Camden,"1,601",48.0,-0.03,94.8,50.3,67.9,735,43.9,-0.29,92.5,46.4,62,866,51.4,+0.20,96.7,53.6,72.9
E09000012,Hackney,"2,449",51.4,+0.34,96.9,53.4,71.7,"1,130",48.5,+0.14,96.2,51.6,68.2,"1,319",53.8,+0.52,97.5,54.9,74.6
E09000013,Hammersmith and Fulham,"1,519",54.8,+0.47,94.3,61.4,77.2,757,53.3,+0.43,92.7,60.5,75,762,56.2,+0.51,95.9,62.3,79.4
E09000014,Haringey,"2,716",48.2,+0.21,96.5,47.7,65.9,"1,400",45.8,+0.04,95.3,46.1,63.2,"1,316",50.7,+0.38,97.7,49.5,68.8
E09000019,Islington,"1,530",46.7,-0.03,94.4,46.8,65.6,814,45.6,-0.06,93.7,45,65.6,716,48.0,0.00,95.3,48.9,65.6
E09000020,Kensington and Chelsea,997,53.5,+0.30,96.8,59.2,75.4,600,52.8,+0.27,96.8,60,76.7,397,54.4,+0.34,96.7,57.9,73.6
E09000022,Lambeth,"2,440",44.8,+0.01,95.7,44.3,62.9,"1,231",42.4,-0.12,94.2,42.5,60.7,"1,209",47.2,+0.14,97.4,46.2,65.1
E09000023,Lewisham,"2,282",45.4,0.00,94.9,44.5,61,"1,131",42.7,-0.09,93.1,42.4,58.8,"1,151",48.0,+0.09,96.7,46.6,63.2
E09000025,Newham,"4,613",51.1,+0.25,97.5,54.3,71.8,"2,340",48.4,+0.07,96.7,51.7,69.3,"2,273",53.8,+0.43,98.3,57,74.4
E09000028,Southwark,"3,117",51.9,+0.38,97.1,55.4,73.1,"1,529",50.3,+0.29,96.5,55,72.3,"1,588",53.5,+0.46,97.7,55.8,73.9
E09000030,Tower Hamlets,"3,085",48.6,+0.21,94.2,53.1,69.3,"1,564",45.9,+0.05,92.3,52,68,"1,521",51.3,+0.36,96.1,54.2,70.7
E09000032,Wandsworth,"2,099",50.4,+0.33,95.2,55.8,71.1,"1,124",48.3,+0.23,93.6,54.7,69.5,975,52.7,+0.44,97,57,72.9
E09000033,Westminster,"1,772",54.3,+0.48,97.4,59.9,76,845,50.5,+0.27,96.9,55,72.9,927,57.7,+0.67,97.8,64.4,78.9
E09000002,Barking and Dagenham,"3,042",48.0,+0.24,97.2,48.5,66,"1,617",44.9,+0.03,96,44.7,63,"1,425",51.4,+0.47,98.5,52.8,69.3
E09000003,Barnet,"4,491",57.1,+0.64,97.6,66,80.1,"2,365",55.9,+0.57,97,66.4,79.3,"2,126",58.5,+0.72,98.3,65.5,80.9
E09000004,Bexley,"3,313",49.7,-0.06,97.4,51.6,69.4,"1,704",48.4,-0.17,97.5,51.3,67.7,"1,609",51.0,+0.05,97.3,51.9,71.2
E09000005,Brent,"3,226",50.5,+0.61,97.2,51.7,68,"1,712",48.5,+0.48,96.2,50.2,66.8,"1,514",52.8,+0.76,98.3,53.5,69.4
E09000006,Bromley,"3,693",51.2,+0.04,96.6,55.2,73.2,"1,826",48.7,-0.13,95.6,51.9,69.7,"1,867",53.6,+0.21,97.6,58.4,76.6
E09000008,Croydon,"3,906",45.7,+0.01,95.9,44.9,64.5,"2,031",42.9,-0.15,94.5,41.9,61.3,"1,875",48.7,+0.19,97.3,48,67.9
E09000009,Ealing,"3,343",52.0,+0.62,96.9,56.9,73.7,"1,709",49.9,+0.49,96,55.6,71.9,"1,634",54.2,+0.76,97.8,58.3,75.6
E09000010,Enfield,"3,871",47.0,+0.21,95.9,47.8,65.7,"1,970",44.2,+0.03,94.6,44.6,62.9,"1,901",49.9,+0.40,97.2,51.2,68.5
E09000011,Greenwich,"2,852",47.0,-0.01,96.1,48.4,66.3,"1,467",44.8,-0.15,95,46.6,63.7,"1,385",49.3,+0.14,97.3,50.3,69.1
E09000015,Harrow,"2,618",51.6,+0.45,97.2,55.8,71.4,"1,290",48.2,+0.19,96.7,52,69.7,"1,328",54.9,+0.69,97.7,59.4,73.1
E09000016,Havering,"2,968",47.4,-0.09,96.8,47.4,69.4,"1,550",45.4,-0.23,96.1,46.1,68.1,"1,418",49.6,+0.06,97.5,48.8,70.9
E09000017,Hillingdon,"3,510",48.9,+0.24,96.4,51,70.1,"1,770",47.6,+0.18,95.7,50.5,68.9,"1,740",50.3,+0.31,97.1,51.5,71.3
E09000018,Hounslow,"3,204",49.9,+0.45,95,55.1,72,"1,660",48.7,+0.36,94.9,53.2,70.5,"1,544",51.2,+0.54,95.1,57.3,73.5
E09000021,Kingston upon Thames,"1,893",58.6,+0.58,96.3,66.7,81,911,56.5,+0.43,95.5,65.2,80.6,982,60.5,+0.73,97,68,81.4
E09000024,Merton,"1,711",52.2,+0.59,96.6,54.7,73.9,920,50.9,+0.53,96.2,52.6,72.1,791,53.7,+0.66,97.1,57.1,76
E09000026,Redbridge,"3,949",54.6,+0.50,97.8,63.6,78.3,"2,055",52.8,+0.40,97.2,62,77.2,"1,894",56.6,+0.62,98.4,65.4,79.6
E09000027,Richmond upon Thames,"1,891",55.9,+0.40,96.2,65,80,978,53.3,+0.29,95.7,63.4,77.5,913,58.7,+0.53,96.8,66.8,82.6
E09000029,Sutton,"3,278",59.9,+0.51,97.3,69.2,82.5,"1,676",58.8,+0.42,95.7,69.3,81.4,"1,602",61.1,+0.61,98.9,69,83.6
E09000031,Waltham Forest,"2,805",45.7,-0.06,96.3,46.8,64.8,"1,435",42.7,-0.29,95.1,43.6,61.3,"1,370",48.9,0.17,97.4,50.1,68.5
,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,"30,220",49.7,+0.23,96,52.4,69.7,"15,200",47.4,+0.09,94.8,50.6,67.6,"15,020",52.2,+0.36,97.2,54.2,71.8
E13000002,Outer London,"59,564",51.0,0.3,96.7,54.9,71.9,"30,646",49.0,0.16,95.9,53.1,70,"28,918",53.3,0.44,97.6,56.8,74
,,,,,,,,,,,,,,,,,,,
E12000001,North East,"27,720",44.5,-0.27,95.6,41.9,62.4,"14,189",42.2,-0.40,94.4,39.6,59.9,"13,531",46.9,-0.14,96.8,44.4,65.1
E12000002,North West,"83,309",44.6,-0.20,96.1,41.7,62.4,"42,674",42.3,-0.35,95.2,39.8,60,"40,635",47.0,-0.04,96.9,43.8,64.8
E12000003,Yorkshire and The Humber,"61,019",44.7,-0.06,96.1,42.6,62.8,"31,237",42.5,-0.20,95.5,40.4,60.5,"29,782",47.0,+0.09,96.8,44.9,65.2
E12000004,East Midlands,"52,759",45.2,-0.04,96.5,43,63.8,"26,954",43.1,-0.18,96,40.6,61.3,"25,805",47.5,+0.10,97.1,45.5,66.4
E12000005,West Midlands,"68,231",44.9,-0.09,96.4,41.9,62.1,"34,723",42.4,-0.26,95.6,39.5,59.3,"33,508",47.6,+0.09,97.2,44.3,64.9
E12000006,East of England,"68,372",46.6,+0.01,96.5,45.6,66.3,"34,936",44.4,-0.13,95.8,43.7,64.1,"33,436",48.8,+0.15,97.2,47.6,68.5
E12000007,London,"89,784",50.6,+0.27,96.5,54.1,71.2,"45,846",48.4,+0.14,95.5,52.3,69.2,"43,938",52.9,+0.41,97.4,55.9,73.2
E12000008,South East,"96,414",47.4,-0.02,96.2,47.8,67.5,"49,327",45.4,-0.16,95.5,45.8,65.2,"47,087",49.6,+0.11,96.8,49.9,69.8
E12000009,South West,"56,005",46.3,-0.02,96.2,44.9,65.6,"28,749",44.1,-0.16,95.6,42.8,62.9,"27,256",48.6,0.12,96.9,47.1,68.5
,,,,,,,,,,,,,,,,,,,
E92000001,England,"603,613",46.4,-0.03,96.3,45.5,65.4,"308,635",44.2,-0.17,95.5,43.4,63,"294,978",48.7,+0.12,97,47.6,67.8
,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,
"1. All state-funded schools include local authority maintained mainstream schools, academies, free schools, city technology colleges, further education colleges with provision for 14 to 16 year-olds and state-funded special schools. They exclude independent schools, independent special schools, non-maintained special schools, hospital schools, pupil referral units and alternative provision. Alternative provision includes academy and free school alternative provision. ",,,,,,,,,,,,,,,,,,,
2. Some zero percentages may represent small numbers due to rounding.,,,,,,,,,,,,,,,,,,,
Link:,https://explore-education-statistics.service.gov.uk/data-tables/permalink/2d41c285-c4e4-4323-fbc2-08dc2e3669fd,,,,,,,,,,,,,,,,,,